institution, ror, repository, count 
"University of Auckland",https://ror.org/03b94tp07,"Americanae (AECID Library)",9,
"University of Auckland",https://ror.org/03b94tp07,"Zenodo (CERN European Organization for Nuclear Research)",117,
"University of Auckland",https://ror.org/03b94tp07,"UWA Profiles and Research Repository (University of Western Australia)",7,
"University of Auckland",https://ror.org/03b94tp07,"LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)",41,
"University of Auckland",https://ror.org/03b94tp07,"Europe PMC (PubMed Central)",1361,
"University of Auckland",https://ror.org/03b94tp07,"City Research Online (City University London)",6,
"University of Auckland",https://ror.org/03b94tp07,"HAL (Le Centre pour la Communication Scientifique Directe)",238,
"University of Auckland",https://ror.org/03b94tp07,"Digital Access to Scholarship at Harvard (DASH) (Harvard University)",3,
"University of Auckland",https://ror.org/03b94tp07,"CiteSeer X (The Pennsylvania State University)",427,
"University of Auckland",https://ror.org/03b94tp07,"Portsmouth Research Portal (University of Portsmouth)",8,
"University of Auckland",https://ror.org/03b94tp07,"University of Groningen research database (University of Groningen / Centre for Information Technology)",28,
"University of Auckland",https://ror.org/03b94tp07,"INDIGO (University of Illinois at Chicago)",81,
"University of Auckland",https://ror.org/03b94tp07,"DukeSpace (Duke University)",1,
"University of Auckland",https://ror.org/03b94tp07,"PubMed Central",571,
"University of Auckland",https://ror.org/03b94tp07,"White Rose Research Online (University of Leeds)",69,
"University of Auckland",https://ror.org/03b94tp07,"Griffith Research Online (Griffith University)",39,
"University of Auckland",https://ror.org/03b94tp07,"Oxford University Research Archive (ORA) (University of Oxford)",47,
"University of Auckland",https://ror.org/03b94tp07,"arXiv (Cornell University)",813,
"University of Auckland",https://ror.org/03b94tp07,"Nottingham ePrints (University of Nottingham)",9,
"University of Auckland",https://ror.org/03b94tp07,"Singapore Management University Institutional Knowledge (InK) (Singapore Management University)",117,
"University of Auckland",https://ror.org/03b94tp07,"ORCA Online Research @Cardiff (Cardiff University)",25,
"University of Auckland",https://ror.org/03b94tp07,"RePEc: Research Papers in Economics",110,
"University of Auckland",https://ror.org/03b94tp07,"Repositorio Institucional Universidad Católica de Colombia (Universidad Católica de Colombia)",1,
"University of Auckland",https://ror.org/03b94tp07,"Apollo (University of Cambridge)",24,
"University of Auckland",https://ror.org/03b94tp07,"OpenAIR@RGU (Robert Gordon University)",1,
"University of Auckland",https://ror.org/03b94tp07,"eScholarship University of California (University of California)",26,
"University of Auckland",https://ror.org/03b94tp07,"UWSpace (University of Waterloo)",1,
"University of Auckland",https://ror.org/03b94tp07,"ANU Open Research (Australian National University)",38,
"University of Auckland",https://ror.org/03b94tp07,"Griffith Research Online (Griffith University, Queensland, Australia)",52,
"University of Auckland",https://ror.org/03b94tp07,"Iris (University of Trento)",1,
"University of Auckland",https://ror.org/03b94tp07,"Nova Science Publishers (Nova Science Publishers, Inc.)",1,
"University of Auckland",https://ror.org/03b94tp07,"OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)",23,
"University of Auckland",https://ror.org/03b94tp07,"Research Portal (Queen's University Belfast)",17,
"University of Auckland",https://ror.org/03b94tp07,"MURAL - Maynooth University Research Archive Library (National University of Ireland, Maynooth)",3,
"University of Auckland",https://ror.org/03b94tp07,"OPUS - Open Publications of UTS Scholars (University of Technology Sydney)",9,
"University of Auckland",https://ror.org/03b94tp07,"University of Canterbury Research Repository (University of Canterbury)",36,
"University of Auckland",https://ror.org/03b94tp07,"Deep Blue (University of Michigan)",14,
"University of Auckland",https://ror.org/03b94tp07,"MPG.PuRe (Max Planck Society)",14,
"University of Auckland",https://ror.org/03b94tp07,"Repository@Hull (Worktribe) (University of Hull)",11,
"University of Auckland",https://ror.org/03b94tp07,"Ghent University Academic Bibliography (Ghent University)",15,
"University of Auckland",https://ror.org/03b94tp07,"UEA Digital Repository (University of East Anglia)",13,
"University of Auckland",https://ror.org/03b94tp07,"CentAUR (University of Reading)",14,
"University of Auckland",https://ror.org/03b94tp07,"Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut)",7,
"University of Auckland",https://ror.org/03b94tp07,"eScholarship (California Digital Library)",24,
"University of Auckland",https://ror.org/03b94tp07,"The HKU Scholars Hub (University of Hong Kong)",9,
"University of Auckland",https://ror.org/03b94tp07,"UC Research Repository  (University of Canterbury)",25,
"University of Auckland",https://ror.org/03b94tp07,"Loughborough University Research Repository (Loughborough University)",3,
"University of Auckland",https://ror.org/03b94tp07,"Scopus (Elsevier)",6,
"University of Auckland",https://ror.org/03b94tp07,"University of Limerick Institutional Repository (University of Limerick)",1,
"University of Auckland",https://ror.org/03b94tp07,"ePrints Soton (University of Southampton)",75,
"University of Auckland",https://ror.org/03b94tp07,"Aberdeen University Research Archive (Aberdeen University)",36,
"University of Auckland",https://ror.org/03b94tp07,"CERES (Cranfield University)",9,
"University of Auckland",https://ror.org/03b94tp07,"Digital Commons - URI (University of Rhode Island)",1,
"University of Auckland",https://ror.org/03b94tp07,"DR-NTU (Nanyang Technological University)",42,
"University of Auckland",https://ror.org/03b94tp07,"eSpace (Curtin University)",30,
"University of Auckland",https://ror.org/03b94tp07,"UpSpace Institutional Repository (University of Pretoria)",22,
"University of Auckland",https://ror.org/03b94tp07,"Virginia Tech Works (Virginia Tech)",1,
"University of Auckland",https://ror.org/03b94tp07,"UCL Discovery (University College London)",86,
"University of Auckland",https://ror.org/03b94tp07,"DIGITAL.CSIC (Spanish National Research Council (CSIC))",11,
"University of Auckland",https://ror.org/03b94tp07,"Minerva Access (University of Melbourne)",134,
"University of Auckland",https://ror.org/03b94tp07,"PolyU Institutional Research Archive (Hong Kong Polytechnic University)",14,
"University of Auckland",https://ror.org/03b94tp07,"Data Archiving and Networked Services (DANS)",40,
"University of Auckland",https://ror.org/03b94tp07,"University of Southern Queensland ePrints (University of Southern Queensland)",5,
"University of Auckland",https://ror.org/03b94tp07,"Research Center for Eco-Environmental Sciences OpenIR (Chinese Academy of Sciences)",1,
"University of Auckland",https://ror.org/03b94tp07,"Falmouth University Research Repository (FURR) (Falmouth University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Monash University Research Portal (Monash University)",12,
"University of Auckland",https://ror.org/03b94tp07,"DSpace@MIT (Massachusetts Institute of Technology)",7,
"University of Auckland",https://ror.org/03b94tp07,"RepositóriUM (Universidade do Minho)",8,
"University of Auckland",https://ror.org/03b94tp07,"Radboud Repository (Radboud University)",15,
"University of Auckland",https://ror.org/03b94tp07,"UWE Research Repository (UWE Bristol)",6,
"University of Auckland",https://ror.org/03b94tp07,"Florence Research (University of Florence)",4,
"University of Auckland",https://ror.org/03b94tp07,"Queen Mary Research Online (Queen Mary University of London)",8,
"University of Auckland",https://ror.org/03b94tp07,"Open Research Exeter (University of Exeter)",15,
"University of Auckland",https://ror.org/03b94tp07,"Open Access at Essex (University of Essex)",3,
"University of Auckland",https://ror.org/03b94tp07,"DORA Eawag (Swiss Federal Institute of Aquatic Science and Technology (Eawag))",1,
"University of Auckland",https://ror.org/03b94tp07,"Repository@Nottingham (University of Nottingham)",17,
